M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
6.555,6.008,6.667,2.896,4.975,3.042,4.981,4.02,3.906,6.149,3.403,6.023,6.508,5.153,7.375,5.008,6.443,3.545,5.012,5.79,3.46,2.113,4.527,5.823
4.301,5.442,5.801,3.363,5.501,5.093,3.448,3.543,6.511,4.345,3.648,4.493,5.086,3.567,2.353,4.378,5.204,4.773,5.959,3.928,5.889,5.792,4.676,4.981
4.397,1.92,5.253,3.494,3.714,4.716,3.36,4.444,6.957,4.033,3.383,5.156,7.351,4.916,5.451,7.365,4.907,6.403,5.832,7.23,7.144,5.331,7.396,6.943
2.989,3.947,2.335,3.466,3.856,4.042,2.653,4.446,2.771,3.468,2.589,4.385,4.842,4.354,4.756,4.222,2.836,6.403,2.873,6.525,4.554,6.199,5.199,5.227
4.515,4.378,4.048,3.559,2.553,6.317,2.209,6.334,5.373,1.484,2.846,6.527,5.585,5.111,5.819,4.421,4.47,2.873,5.104,4.907,3.486,7.131,4.595,7.44
4.645,4.868,3.035,4.842,6.766,2.757,4.82,6.301,0.765,4.344,3.111,5.103,6.136,4.646,4.067,4.19,7.017,6.788,7.87,6.144,6.551,7.985,6.78,4.142
5.841,3.36,4.889,3.648,4.158,5.29,2.908,3.407,5.437,6.089,6.526,5.077,4.432,5.004,4.854,4.402,3.516,4.595,2.528,6.072,1.427,6.641,4.142,5.294
5.164,3.909,6.067,5.646,5.996,7.271,1.816,5.491,5.625,5.113,7.52,6.019,7.079,6.533,6.152,1.973,3.225,4.027,4.804,3.644,6.656,6.707,6.926,7.862
4.621,6.148,5.828,4.886,3.629,6.955,5.208,5.606,6.9,6.212,3.594,7.065,6.391,5.714,5.59,5.631,6.91,4.79,6.844,6.289,5.866,5.984,5.726,4.644
2.264,5.153,5.394,4.85,3.188,4.124,4.392,1.219,5.2,3.206,6.439,6.08,4.725,5.531,6.552,7.87,5.028,7.554,4.153,6.49,5.17,3.705,7.484,5.072
3.547,4.655,6.413,4.304,3.212,4.187,1.421,5.96,3.514,4.206,6.28,6.278,6.465,7.22,6.508,7.437,4.1,6.518,4.29,6.08,6.301,5.588,4.232,5.164
5.51,5.264,2.063,3.18,4.985,3.275,7.101,5.09,4.926,3.328,3.386,6.387,5.104,8.005,4.571,5.954,2.159,6.503,6.009,5.475,4.63,3.643,4.527,7.93
2.115,3.85,4.779,4.149,1.934,4.933,2.97,5.513,5.342,6.972,5.211,4.691,5.285,6.96,6.055,5.733,5.858,4.976,3.571,6.262,5.757,6.389,5.493,9.368
4.984,7.089,4.413,5.741,6.206,3.697,4.503,2.579,3.094,4.971,2.501,3.021,5.861,3.392,5.292,4.798,6.888,8.197,4.481,3.832,3.244,3.184,6.047,4.943
5.387,7.329,7.403,2.759,3.135,6.447,5.899,7.226,3.906,4.761,7.462,5.726,5.38,5.158,5.322,6.018,6.061,6.409,6.16,6.949,6.277,6.657,5.739,8.233
4.752,2.042,3.575,5.237,5.363,6.13,3.537,5.076,6.972,2.438,6.331,4.794,6.001,3.716,6.269,8.226,5.253,5.823,7.873,5.512,6.977,3.707,3.247,6.785
4.999,5.035,2.218,5.479,4.643,5.407,3.768,5.126,3.431,5.061,5.298,3.469,6.558,4.306,4.729,4.926,5.207,2.705,6.643,6.778,4.451,5.384,5.753,3.184
4.515,4.982,5.379,4.039,4.448,4.443,2.6,4.729,6.75,5.429,5.24,3.795,2.099,2.175,4.924,4.762,7.582,5.018,4.356,2.295,4.314,5.831,6.031,6.914
5.485,5.359,8.349,5.239,4.633,2.304,5.781,4.46,6.944,5.395,4.382,6.651,5.817,4.067,5.543,5.372,4.68,7.539,6.174,6.225,4.547,6.315,4.43,2.622
4.622,3.084,4.474,0.815,2.417,4.432,3.337,2.405,5.709,5.803,5.249,7.306,4.903,6.948,3.726,5.284,6.406,6.11,6.292,7.91,5.759,5.643,3.029,6.66
2.787,2.432,4.289,5.066,3.159,3.394,5.106,3.771,3.181,2.35,6.393,4.576,5.875,5.796,3.933,4.841,4.011,6.8,5.807,5.726,3.152,6.29,9.012,5.131
6.266,4.809,2.25,4.579,6.872,4.561,7.06,4.03,2.994,3.999,6.848,1.551,2.626,6.056,3.901,3.327,6.93,6.477,6.362,4.024,6.048,3.358,5.088,6.177
4.664,2.635,5.352,4.536,2.939,3.649,3.719,5.387,6.35,5.342,7.708,4.938,6.462,5.489,2.27,8.93,5.108,4.81,8.249,5.708,6.598,6.701,5.338,4.246
4.513,5.739,5.718,5.359,2.534,6.318,3.493,5.505,2.911,4.823,5.282,5.717,5.59,4.024,6.888,3.752,6.796,6.825,6.7,5.393,5.182,2.854,4.463,4.2
3.703,2.072,1.444,2.88,3.685,3.512,2.517,2.805,4.364,5.822,5.757,5.097,4.335,4.936,4.763,0.186,5.422,4.223,7.595,6.634,5.61,5.28,2.628,3.893
3.356,7.267,5.542,3.855,4.121,3.877,5.305,5.693,6.098,4.635,4.141,3.804,7.706,7.235,6.826,6.135,4.95,6.114,4.88,4.569,4.794,6.469,5.856,6.659
6.351,5.121,5.569,5.665,0.773,3.529,3.68,4.08,5.115,3.294,6.852,4.829,6.335,5.525,4.112,4.639,4.48,4.782,6.334,5.798,5.868,2.591,4.855,5.241
4.479,4.638,4.438,5.329,3.393,5.94,3.592,6.051,3.627,5.216,3.955,3.384,5.633,6.034,6.621,5.931,4.787,5.362,5.054,5.111,6.777,9.403,5.477,5.118
5.729,5.621,6.236,6.036,5.745,5.664,3.473,5.669,2.912,5.101,6.045,6.687,1.865,8.229,2.251,1.347,7.006,7.265,5.461,5.023,7.03,2.071,4.413,5.782
3.828,3.923,4.091,2.531,7.712,3.79,6.092,3.756,5.995,4.718,4.385,5.311,6.57,5.261,5.717,5.877,6.807,5.997,8.461,7.787,7.251,7.271,4.736,3.848
